"","x"
"1","c(Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta)"
"2","c(Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta)"
"3","c(Comamonas_testosteroni.fasta, Rhodococcus_ruber.fasta)"
"4","c(Comamonas_testosteroni.fasta, Sphingobium_yanoikuyae.fasta)"
"5","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta)"
"6","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta)"
"7","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Rhodococcus_ruber.fasta)"
"8","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Sphingobium_yanoikuyae.fasta)"
"9","c(Brevibacillus_brevis.fasta, Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta)"
"10","c(Brevibacillus_brevis.fasta, Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta)"
"11","c(Brevibacillus_brevis.fasta, Comamonas_testosteroni.fasta, Rhodococcus_ruber.fasta)"
"12","c(Brevibacillus_brevis.fasta, Comamonas_testosteroni.fasta, Sphingobium_yanoikuyae.fasta)"
"13","c(Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Paenibacillus_polymyxa.fasta)"
"14","c(Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Pseudomonas_fluorescens.fasta)"
"15","c(Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Rhodococcus.fasta)"
"16","c(Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Rhodococcus_ruber.fasta)"
"17","c(Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Sphingobium_yanoikuyae.fasta)"
"18","c(Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Variovorax_paradoxus.fasta)"
"19","c(Comamonas_testosteroni.fasta, Paenibacillus_polymyxa.fasta, Pseudomonas_fluorescens.fasta)"
"20","c(Comamonas_testosteroni.fasta, Paenibacillus_polymyxa.fasta, Rhodococcus_ruber.fasta)"
"21","c(Comamonas_testosteroni.fasta, Paenibacillus_polymyxa.fasta, Sphingobium_yanoikuyae.fasta)"
"22","c(Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta, Rhodococcus.fasta)"
"23","c(Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta, Rhodococcus_ruber.fasta)"
"24","c(Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta, Sphingobium_yanoikuyae.fasta)"
"25","c(Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta, Variovorax_paradoxus.fasta)"
"26","c(Comamonas_testosteroni.fasta, Rhodococcus.fasta, Rhodococcus_ruber.fasta)"
"27","c(Comamonas_testosteroni.fasta, Rhodococcus.fasta, Sphingobium_yanoikuyae.fasta)"
"28","c(Comamonas_testosteroni.fasta, Rhodococcus_ruber.fasta, Sphingobium_yanoikuyae.fasta)"
"29","c(Comamonas_testosteroni.fasta, Rhodococcus_ruber.fasta, Variovorax_paradoxus.fasta)"
"30","c(Comamonas_testosteroni.fasta, Sphingobium_yanoikuyae.fasta, Variovorax_paradoxus.fasta)"
"31","c(Bacillus_subtilis.fasta, Brevibacillus_brevis.fasta, Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta)"
"32","c(Bacillus_subtilis.fasta, Brevibacillus_brevis.fasta, Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta)"
"33","c(Bacillus_subtilis.fasta, Brevibacillus_brevis.fasta, Comamonas_testosteroni.fasta, Rhodococcus_ruber.fasta)"
"34","c(Bacillus_subtilis.fasta, Brevibacillus_brevis.fasta, Comamonas_testosteroni.fasta, Sphingobium_yanoikuyae.fasta)"
"35","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Paenibacillus_polymyxa.fasta)"
"36","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Pseudomonas_fluorescens.fasta)"
"37","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Rhodococcus.fasta)"
"38","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Rhodococcus_ruber.fasta)"
"39","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Sphingobium_yanoikuyae.fasta)"
"40","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Cupriavidus_necator.fasta, Variovorax_paradoxus.fasta)"
"41","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Paenibacillus_polymyxa.fasta, Pseudomonas_fluorescens.fasta)"
"42","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Paenibacillus_polymyxa.fasta, Rhodococcus_ruber.fasta)"
"43","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Paenibacillus_polymyxa.fasta, Sphingobium_yanoikuyae.fasta)"
"44","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta, Rhodococcus.fasta)"
"45","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta, Rhodococcus_ruber.fasta)"
"46","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta, Sphingobium_yanoikuyae.fasta)"
"47","c(Bacillus_subtilis.fasta, Comamonas_testosteroni.fasta, Pseudomonas_fluorescens.fasta, Variovorax_paradoxus.fasta)"
