"","Bacillus_subtilis.fasta","Brevibacillus_brevis.fasta","Comamonas_testosteroni.fasta","Cupriavidus_necator.fasta","Paenibacillus_polymyxa.fasta","Pseudomonas_fluorescens.fasta","Pseudomonas_putida.fasta","Rhodococcus.fasta","Rhodococcus_ruber.fasta","Sphingobium_yanoikuyae.fasta","Variovorax_paradoxus.fasta"
"R01976",1,1,1,1,1,1,0,1,1,1,1
"R02487",0,0,1,1,0,1,1,0,1,0,1
"R00816",1,0,1,1,1,0,1,0,1,0,0
"R00238",1,1,1,1,1,1,1,1,1,1,1
"R00750",0,1,1,1,0,0,1,1,1,0,0
"R03026",0,1,1,1,0,1,1,1,1,1,1
"R01975",1,1,1,1,0,1,0,0,1,1,1
"R02601",0,1,1,1,0,1,1,0,1,1,1
"R02451",0,0,0,0,0,0,0,0,0,0,0
"R00813",0,0,0,1,0,1,0,0,1,1,0
"R01778",1,1,1,1,0,1,0,0,1,1,1
"R05597",0,0,0,0,0,0,0,0,0,0,0
"R05581",0,0,0,0,0,0,0,0,0,0,0
"R05593",0,0,0,0,0,0,0,0,0,0,0
"R02604",0,0,0,0,0,0,0,0,0,0,0
