Total Orthogroups;21659
KOs in the database;16
(Relaxed Search) Selected orthogroups;7
(Relaxed Search) % Selected orthogroups;0.0
(Relaxed Search) Associated KOs;10
(Relaxed Search) % Associated KOs;62.5
(Restrictive Search) Orthogroups with annotated sequences;7
(Restrictive Search) % of Orthogroups with annotated sequences;0.0
(Restrictive Search) KOs with assigned sequences;10
(Restrictive Search) % KOs with annotated sequences;62.5
ConOG;1
DivOG;6
DivOG with more than one KO;3
Relaxed Search to Restrictive Search 
Lost orthogroups;0
% Lost orthogroups;0.0
Lost KOs;0
% Lost KOs;0.0
