Orthogroup	adv	ath	aza	azd	azi	Total
OG0000000	0	223	0	0	0	223
OG0000001	0	123	0	0	0	123
OG0000002	0	116	0	0	0	116
OG0000003	0	95	0	0	0	95
OG0000004	0	93	0	0	0	93
OG0000005	0	92	0	0	0	92
OG0000006	0	92	0	0	0	92
OG0000007	0	84	0	0	0	84
OG0000008	0	84	0	0	0	84
OG0000009	0	83	0	0	0	83
OG0000010	0	83	0	0	0	83
OG0000011	0	79	0	0	0	79
OG0000012	0	78	0	0	0	78
OG0000013	0	77	0	0	0	77
OG0000014	0	75	0	0	0	75
OG0000015	0	75	0	0	0	75
OG0000016	0	74	0	0	0	74
OG0000017	0	73	0	0	0	73
OG0000018	0	73	0	0	0	73
OG0000019	0	72	0	0	0	72
OG0000020	0	70	0	0	0	70
OG0000021	0	68	0	0	0	68
OG0000022	0	64	0	0	0	64
OG0000023	0	64	0	0	0	64
OG0000024	0	64	0	0	0	64
OG0000025	0	64	0	0	0	64
OG0000026	0	63	0	0	0	63
OG0000027	0	63	0	0	0	63
OG0000028	0	61	0	0	0	61
OG0000029	0	60	0	0	0	60
OG0000030	0	60	0	0	0	60
OG0000031	0	59	0	0	0	59
OG0000032	0	59	0	0	0	59
OG0000033	0	59	0	0	0	59
OG0000034	0	58	0	0	0	58
OG0000035	0	58	0	0	0	58
OG0000036	0	57	0	0	0	57
OG0000037	2	36	11	4	3	56
OG0000038	0	54	0	0	0	54
OG0000039	0	54	0	0	0	54
OG0000040	0	52	0	0	0	52
OG0000041	0	52	0	0	0	52
OG0000042	0	52	0	0	0	52
OG0000043	3	0	0	23	25	51
OG0000044	0	51	0	0	0	51
OG0000045	0	51	0	0	0	51
OG0000046	0	51	0	0	0	51
OG0000047	0	51	0	0	0	51
OG0000048	0	51	0	0	0	51
OG0000049	0	50	0	0	0	50
OG0000050	0	50	0	0	0	50
OG0000051	0	50	0	0	0	50
OG0000052	0	50	0	0	0	50
OG0000053	0	49	0	0	0	49
OG0000054	0	49	0	0	0	49
OG0000055	0	49	0	0	0	49
OG0000056	0	49	0	0	0	49
OG0000057	0	49	0	0	0	49
OG0000058	0	49	0	0	0	49
OG0000059	0	48	0	0	0	48
OG0000060	0	48	0	0	0	48
OG0000061	0	48	0	0	0	48
OG0000062	0	48	0	0	0	48
OG0000063	0	48	0	0	0	48
OG0000064	0	47	0	0	0	47
OG0000065	0	47	0	0	0	47
OG0000066	0	47	0	0	0	47
OG0000067	0	47	0	0	0	47
OG0000068	0	47	0	0	0	47
OG0000069	0	46	0	0	0	46
OG0000070	0	45	0	0	0	45
OG0000071	0	44	0	0	0	44
OG0000072	0	44	0	0	0	44
OG0000073	0	44	0	0	0	44
OG0000074	0	44	0	0	0	44
OG0000075	0	44	0	0	0	44
OG0000076	0	44	0	0	0	44
OG0000077	0	43	0	0	0	43
OG0000078	0	43	0	0	0	43
OG0000079	0	43	0	0	0	43
OG0000080	0	43	0	0	0	43
OG0000081	0	43	0	0	0	43
OG0000082	0	43	0	0	0	43
OG0000083	0	43	0	0	0	43
OG0000084	0	43	0	0	0	43
OG0000085	0	43	0	0	0	43
OG0000086	0	42	0	0	0	42
OG0000087	0	42	0	0	0	42
OG0000088	0	42	0	0	0	42
OG0000089	0	42	0	0	0	42
OG0000090	0	41	0	0	0	41
OG0000091	0	41	0	0	0	41
OG0000092	0	41	0	0	0	41
OG0000093	0	41	0	0	0	41
OG0000094	0	41	0	0	0	41
OG0000095	1	39	0	0	0	40
OG0000096	0	40	0	0	0	40
OG0000097	0	40	0	0	0	40
OG0000098	0	40	0	0	0	40
OG0000099	0	40	0	0	0	40
OG0000100	0	40	0	0	0	40
OG0000101	0	40	0	0	0	40
OG0000102	0	39	0	0	0	39
OG0000103	0	39	0	0	0	39
OG0000104	0	39	0	0	0	39
OG0000105	0	39	0	0	0	39
OG0000106	0	39	0	0	0	39
OG0000107	0	39	0	0	0	39
OG0000108	0	39	0	0	0	39
OG0000109	0	39	0	0	0	39
OG0000110	3	18	10	5	2	38
