	adv	ath	aza	azd	azi	bced	bvi	cyq	cza	dor	eba	lcm	magx	parb	rrz	shd	sscu	tmz
Number of genes	3473	48265	5188	4431	4719	7323	7617	2248	2584	5242	4598	34251	4952	7755	4870	3587	2707	3978
Number of genes in orthogroups	2568	44851	4869	4250	4488	6746	6512	2179	2423	4100	3788	31389	3681	6868	3915	3161	2101	3665
Number of unassigned genes	905	3414	319	181	231	577	1105	69	161	1142	810	2862	1271	887	955	426	606	313
Percentage of genes in orthogroups	73.9	92.9	93.9	95.9	95.1	92.1	85.5	96.9	93.8	78.2	82.4	91.6	74.3	88.6	80.4	88.1	77.6	92.1
Percentage of unassigned genes	26.1	7.1	6.1	4.1	4.9	7.9	14.5	3.1	6.2	21.8	17.6	8.4	25.7	11.4	19.6	11.9	22.4	7.9
Number of orthogroups containing species	1957	8274	3393	3149	3364	4276	4321	1890	2016	2125	2801	7279	2346	4108	2156	2448	1460	2832
Percentage of orthogroups containing species	9.7	41.0	16.8	15.6	16.7	21.2	21.4	9.4	10.0	10.5	13.9	36.1	11.6	20.4	10.7	12.1	7.2	14.0
Number of species-specific orthogroups	56	5075	10	3	3	49	79	0	13	200	31	4281	136	83	146	14	50	17
Number of genes in species-specific orthogroups	128	32721	23	6	6	111	219	0	26	624	79	24004	417	226	392	33	155	46
Percentage of genes in species-specific orthogroups	3.7	67.8	0.4	0.1	0.1	1.5	2.9	0.0	1.0	11.9	1.7	70.1	8.4	2.9	8.0	0.9	5.7	1.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	18223	11906	16787	17031	16816	15904	15859	18290	18164	18055	17379	12901	17834	16072	18024	17732	18720	17348
'1	1581	1057	2720	2613	2809	3281	3414	1722	1782	1358	2301	1615	1758	3017	1448	2078	1125	2367
'2	269	2249	421	351	349	605	529	125	168	425	337	1807	368	646	381	253	216	310
'3	58	1384	122	89	110	177	155	23	35	157	72	1126	104	203	158	59	58	84
'4	24	878	52	34	34	67	91	7	9	59	42	739	41	82	71	20	25	33
'5	8	559	23	21	19	41	39	2	7	37	13	508	22	42	27	14	7	14
'6	5	420	13	17	16	18	25	3	4	21	7	334	10	27	18	3	9	12
'7	4	283	8	3	9	17	15	3	4	17	4	228	9	14	11	4	8	1
'8	5	221	6	3	4	10	8	0	1	13	9	187	10	15	10	5	4	3
'9	1	191	4	1	1	15	6	2	2	5	3	136	4	8	5	2	3	0
'10	0	131	1	4	2	6	3	1	2	3	2	95	3	6	1	4	1	1
11-15	1	392	14	6	5	18	20	1	1	14	5	251	10	22	13	3	3	5
16-20	0	169	4	3	2	9	9	0	1	7	5	98	2	12	7	1	1	0
21-50	1	304	5	4	4	12	7	1	0	8	1	139	5	14	6	2	0	2
51-100	0	33	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0
101-150	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	90.3	59.0	83.2	84.4	83.3	78.8	78.6	90.6	90.0	89.5	86.1	63.9	88.4	79.6	89.3	87.9	92.8	86.0
'1	7.8	5.2	13.5	12.9	13.9	16.3	16.9	8.5	8.8	6.7	11.4	8.0	8.7	15.0	7.2	10.3	5.6	11.7
'2	1.3	11.1	2.1	1.7	1.7	3.0	2.6	0.6	0.8	2.1	1.7	9.0	1.8	3.2	1.9	1.3	1.1	1.5
'3	0.3	6.9	0.6	0.4	0.5	0.9	0.8	0.1	0.2	0.8	0.4	5.6	0.5	1.0	0.8	0.3	0.3	0.4
'4	0.1	4.4	0.3	0.2	0.2	0.3	0.5	0.0	0.0	0.3	0.2	3.7	0.2	0.4	0.4	0.1	0.1	0.2
'5	0.0	2.8	0.1	0.1	0.1	0.2	0.2	0.0	0.0	0.2	0.1	2.5	0.1	0.2	0.1	0.1	0.0	0.1
'6	0.0	2.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.0	1.7	0.0	0.1	0.1	0.0	0.0	0.1
'7	0.0	1.4	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.0	1.1	0.0	0.1	0.1	0.0	0.0	0.0
'8	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.9	0.0	0.1	0.0	0.0	0.0	0.0
'9	0.0	0.9	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	1.9	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.0	1.2	0.0	0.1	0.1	0.0	0.0	0.0
16-20	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.1	0.0	0.0	0.0	0.0
21-50	0.0	1.5	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.1	0.0	0.0	0.0	0.0
51-100	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	1581	1057	2720	2613	2809	3281	3414	1722	1782	1358	2301	1615	1758	3017	1448	2078	1125	2367
'2	538	4498	842	702	698	1210	1058	250	336	850	674	3614	736	1292	762	506	432	620
'3	174	4152	366	267	330	531	465	69	105	471	216	3378	312	609	474	177	174	252
'4	96	3512	208	136	136	268	364	28	36	236	168	2956	164	328	284	80	100	132
'5	40	2795	115	105	95	205	195	10	35	185	65	2540	110	210	135	70	35	70
'6	30	2520	78	102	96	108	150	18	24	126	42	2004	60	162	108	18	54	72
'7	28	1981	56	21	63	119	105	21	28	119	28	1596	63	98	77	28	56	7
'8	40	1768	48	24	32	80	64	0	8	104	72	1496	80	120	80	40	32	24
'9	9	1719	36	9	9	135	54	18	18	45	27	1224	36	72	45	18	27	0
'10	0	1310	10	40	20	60	30	10	20	30	20	950	30	60	10	40	10	10
11-15	11	4969	169	73	60	215	250	12	12	178	64	3167	121	283	165	36	39	66
16-20	0	2974	67	54	33	166	163	0	19	114	89	1741	32	209	133	18	17	0
21-50	21	8977	154	104	107	368	200	21	0	216	22	3980	179	408	194	52	0	45
51-100	0	2148	0	0	0	0	0	0	0	68	0	799	0	0	0	0	0	0
101-150	0	248	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
