Orthogroup	adv	ath	aza	azd	azi	bced	bvi	cyq	cza	dor	eba	lcm	magx	parb	rrz	shd	sscu	tmz	Total
OG0000000	3	53	30	30	31	43	25	9	10	13	17	23	10	42	44	9	12	8	412
OG0000001	11	25	32	24	22	34	29	7	7	38	15	0	41	39	15	23	10	24	396
OG0000002	4	0	29	22	26	20	21	6	7	68	17	1	6	24	3	10	1	14	279
OG0000003	6	0	35	28	28	6	10	12	12	4	16	0	25	19	1	29	0	21	252
OG0000004	0	223	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	224
OG0000005	6	2	12	11	11	24	18	5	6	25	8	0	11	21	11	11	17	14	213
OG0000006	1	0	15	18	16	11	13	6	5	16	8	2	13	18	19	11	8	15	195
OG0000007	9	2	14	11	12	8	4	6	6	21	8	20	10	9	33	7	2	4	186
OG0000008	7	0	13	8	12	48	31	2	1	1	3	0	3	47	0	3	0	5	184
OG0000009	2	8	12	9	6	24	18	7	7	1	8	22	4	22	18	2	6	7	183
OG0000010	5	13	16	15	10	12	9	5	6	22	9	4	5	9	19	10	3	6	178
OG0000011	4	13	18	8	8	5	9	3	3	21	4	0	32	12	3	18	4	10	175
OG0000012	0	0	28	7	8	16	26	0	0	34	0	0	13	26	0	10	0	6	174
OG0000013	8	0	8	10	7	35	20	1	1	16	5	0	3	28	12	3	5	8	170
OG0000014	3	22	12	11	7	10	5	3	5	11	4	7	5	12	39	8	2	4	170
OG0000015	8	32	4	5	7	13	11	9	10	2	2	12	3	14	25	3	5	1	166
OG0000016	4	4	13	19	17	6	6	4	4	16	12	5	8	8	21	7	1	6	161
OG0000017	3	44	5	3	4	9	5	2	2	15	5	16	3	4	9	6	13	5	153
OG0000018	2	49	5	5	5	5	5	4	4	3	4	31	3	5	2	5	2	5	144
OG0000019	8	0	16	1	4	9	19	7	9	9	3	0	16	18	2	10	1	4	136
OG0000020	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132
OG0000021	2	0	17	17	12	6	6	2	2	6	8	0	9	9	13	6	4	8	127
OG0000022	4	0	3	6	2	28	19	0	0	10	1	0	1	22	20	1	9	0	126
OG0000023	1	18	3	2	0	31	17	0	0	1	0	9	0	31	3	1	2	0	119
OG0000024	1	9	11	4	7	8	8	3	7	7	9	2	9	12	9	5	0	6	117
OG0000025	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	117
OG0000026	1	0	5	3	4	33	24	0	0	0	6	0	0	36	0	1	0	3	116
OG0000027	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116
OG0000028	0	0	11	14	13	9	11	1	1	6	4	0	8	14	4	8	0	12	116
OG0000029	3	26	2	1	2	11	7	4	4	7	4	7	0	4	19	2	6	3	112
OG0000030	8	4	5	6	4	18	8	1	1	7	2	10	2	21	10	0	1	3	111
OG0000031	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	111
OG0000032	2	0	6	10	10	14	6	3	3	6	6	3	4	15	12	3	0	3	106
OG0000033	2	0	9	6	4	17	13	0	0	3	3	0	3	27	6	3	2	4	102
OG0000034	0	29	3	4	3	0	0	2	2	1	2	34	3	1	8	4	1	4	101
OG0000035	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	101
OG0000036	5	18	2	1	1	9	5	1	1	3	1	25	6	8	2	4	6	1	99
OG0000037	1	0	8	5	5	10	6	2	2	15	5	0	5	13	9	3	7	3	99
OG0000038	2	32	2	1	2	0	3	1	1	1	5	38	2	1	2	1	1	2	97
OG0000039	3	4	11	10	8	5	4	0	0	18	7	3	4	5	6	5	0	3	96
OG0000040	2	0	6	5	6	4	3	4	4	8	3	0	3	4	32	5	2	1	92
OG0000041	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92
OG0000042	3	0	9	3	6	19	13	0	2	6	2	4	1	14	2	0	3	4	91
OG0000043	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89
OG0000044	2	0	4	1	3	24	14	0	0	0	0	0	1	22	14	0	3	0	88
OG0000045	0	27	3	2	3	1	1	2	2	2	2	25	2	4	6	2	0	2	86
OG0000046	0	0	8	6	4	20	17	0	0	7	0	0	1	17	4	0	2	0	86
OG0000047	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85
OG0000048	4	15	2	3	2	7	6	3	5	2	3	10	3	4	5	2	5	3	84
OG0000049	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
OG0000050	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
OG0000051	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83
OG0000052	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	83
OG0000053	5	1	4	5	3	5	4	21	19	0	0	0	0	10	4	0	0	1	82
OG0000054	1	27	2	2	4	4	3	2	2	1	2	12	2	6	4	4	1	3	82
OG0000055	2	0	8	10	6	22	12	0	0	0	2	0	2	13	0	1	0	3	81
OG0000056	4	0	2	3	6	11	7	2	4	10	1	0	3	6	9	2	6	4	80
OG0000057	2	11	4	3	3	4	3	2	2	3	4	19	3	4	3	4	2	3	79
OG0000058	2	10	3	5	6	5	1	1	1	8	3	12	4	4	8	3	1	2	79
OG0000059	0	77	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	79
OG0000060	3	2	9	6	9	8	7	1	1	7	5	0	1	8	4	2	1	3	77
OG0000061	1	0	2	5	2	7	6	0	0	12	20	0	2	5	3	0	0	11	76
OG0000062	2	0	6	6	4	13	9	2	2	5	2	0	2	16	3	1	1	2	76
OG0000063	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75
OG0000064	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74
OG0000065	0	0	11	4	7	1	1	1	1	16	4	0	16	1	0	8	0	3	74
OG0000066	6	0	4	3	4	19	14	1	1	0	2	0	1	10	2	1	2	3	73
OG0000067	2	0	5	5	5	17	16	0	0	1	1	0	2	11	2	1	0	5	73
OG0000068	1	15	0	1	0	9	8	1	2	1	1	7	1	17	3	2	3	1	73
OG0000069	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
OG0000070	0	0	4	1	1	22	13	0	0	3	0	1	0	20	2	0	4	2	73
OG0000071	3	0	4	2	3	20	11	1	1	0	2	0	2	15	0	3	0	5	72
OG0000072	1	16	0	0	0	3	3	1	2	3	0	33	0	2	6	0	2	0	72
OG0000073	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	72
OG0000074	2	43	0	0	0	0	0	0	0	0	0	25	0	0	1	0	0	0	71
OG0000075	1	11	7	4	7	7	7	0	2	2	4	0	5	4	3	1	1	5	71
OG0000076	2	0	4	4	3	12	11	1	1	0	2	0	8	9	4	3	0	6	70
OG0000077	1	7	3	3	3	9	5	1	1	0	3	9	4	7	8	5	0	1	70
OG0000078	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70
OG0000079	0	0	7	5	5	11	11	0	0	7	2	0	3	11	3	1	0	3	69
OG0000080	3	11	6	3	2	8	6	1	1	2	2	2	1	11	2	2	2	3	68
OG0000081	0	41	0	0	0	0	0	0	0	0	0	23	0	0	2	0	2	0	68
OG0000082	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
OG0000083	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	68
OG0000084	2	6	4	3	4	4	3	2	2	2	3	12	3	3	5	4	1	4	67
OG0000085	1	29	1	1	1	1	1	1	1	0	1	24	1	1	1	1	0	1	67
OG0000086	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	67
OG0000087	4	0	3	6	5	2	3	3	4	4	3	0	10	6	2	4	2	5	66
OG0000088	3	0	5	5	6	3	4	3	3	1	4	0	12	5	1	6	1	4	66
OG0000089	2	0	5	6	4	12	5	2	2	6	2	0	1	14	2	1	0	2	66
OG0000090	0	0	3	4	7	11	5	0	0	8	2	1	5	15	3	0	0	2	66
OG0000091	0	26	2	1	2	3	2	0	2	6	2	1	7	4	0	4	0	3	65
OG0000092	4	0	4	2	4	13	8	1	1	4	2	0	4	12	0	2	1	2	64
OG0000093	2	28	3	3	2	1	1	2	2	3	2	3	2	2	2	2	2	2	64
OG0000094	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
OG0000095	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
OG0000096	0	63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	64
OG0000097	4	0	2	2	3	6	5	4	4	7	3	0	5	6	5	3	1	3	63
OG0000098	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	63
OG0000099	1	0	4	4	4	2	1	2	2	7	4	0	11	4	1	8	1	6	62
OG0000100	0	14	1	2	4	2	2	0	0	13	2	6	3	8	3	0	0	2	62
OG0000101	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
OG0000102	21	0	6	1	2	8	7	0	5	0	7	0	0	3	1	0	0	0	61
OG0000103	2	6	6	5	5	3	4	2	2	2	3	6	2	4	2	2	2	3	61
OG0000104	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	61
OG0000105	3	13	2	1	2	9	4	1	1	0	1	6	1	6	7	0	2	1	60
OG0000106	1	26	2	2	2	3	2	2	2	2	2	2	1	3	2	2	3	1	60
OG0000107	1	0	5	2	2	9	5	0	0	8	1	0	1	14	3	1	7	1	60
OG0000108	1	7	3	3	1	2	2	1	1	29	1	2	1	2	1	1	1	1	60
OG0000109	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
OG0000110	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
OG0000111	3	5	5	6	2	9	6	1	0	0	2	1	0	5	13	0	0	1	59
OG0000112	3	5	4	3	3	3	3	3	3	4	5	2	3	2	4	4	2	3	59
OG0000113	1	28	2	1	3	5	4	1	1	2	2	0	1	4	1	1	0	2	59
OG0000114	1	0	1	1	1	8	7	1	1	14	2	0	1	11	4	1	2	3	59
OG0000115	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
OG0000116	0	14	1	1	2	0	1	0	0	0	0	27	2	0	6	3	0	2	59
OG0000117	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
OG0000118	2	11	3	4	4	6	5	1	1	2	2	0	2	8	2	2	1	2	58
OG0000119	2	8	4	2	3	4	4	1	1	2	2	8	2	4	4	1	3	3	58
OG0000120	1	6	3	3	3	5	5	2	2	1	3	6	2	5	5	1	2	3	58
OG0000121	2	12	4	3	3	4	3	2	2	2	2	2	3	4	4	2	2	2	58
OG0000122	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
OG0000123	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
OG0000124	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
OG0000125	0	0	3	1	2	0	0	2	1	0	3	0	41	2	1	0	0	2	58
OG0000126	0	0	3	1	2	10	4	0	0	3	1	0	0	15	14	2	1	2	58
OG0000127	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	58
OG0000128	3	5	3	4	4	6	4	1	1	3	2	4	2	8	2	3	1	1	57
OG0000129	4	6	5	5	5	2	2	2	2	3	2	3	4	2	1	3	3	3	57
OG0000130	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
OG0000131	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	57
OG0000132	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	57
OG0000133	2	9	2	3	3	4	2	1	2	1	4	2	3	2	5	4	4	3	56
OG0000134	1	0	3	3	1	9	6	0	0	4	1	0	3	10	8	2	4	1	56
OG0000135	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
OG0000136	0	0	5	6	7	5	6	1	1	2	2	0	4	7	1	3	0	5	55
OG0000137	0	0	3	2	4	2	1	1	1	16	5	0	5	2	1	8	0	4	55
OG0000138	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	55
OG0000139	7	0	0	0	1	0	44	0	0	0	0	0	0	2	0	0	0	0	54
OG0000140	1	0	4	2	3	6	2	0	0	5	4	0	3	13	6	2	2	1	54
OG0000141	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
OG0000142	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	54
OG0000143	2	0	3	4	4	7	4	1	1	6	1	0	3	8	2	1	2	4	53
OG0000144	1	13	2	2	2	3	3	3	3	1	1	3	5	3	2	2	2	2	53
OG0000145	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	53
OG0000146	2	0	4	1	3	0	4	3	5	4	5	0	2	5	3	3	2	6	52
OG0000147	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
OG0000148	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
OG0000149	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
OG0000150	2	4	2	2	2	5	3	2	2	3	1	8	3	5	2	2	1	2	51
OG0000151	2	11	2	2	2	2	2	1	1	2	2	12	2	2	1	2	1	2	51
OG0000152	1	0	2	1	1	8	7	1	1	8	2	0	2	10	3	1	1	2	51
OG0000153	1	0	2	1	1	8	7	1	1	8	2	0	2	10	3	1	1	2	51
OG0000154	3	16	2	2	1	1	1	2	2	2	2	2	1	1	4	3	3	3	51
OG0000155	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
OG0000156	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
OG0000157	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
OG0000158	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	51
OG0000159	5	1	1	4	1	3	4	4	5	0	2	1	0	6	6	3	0	4	50
OG0000160	2	4	3	3	2	3	3	2	2	2	3	0	3	3	6	2	2	5	50
OG0000161	4	0	4	2	2	5	4	2	2	11	2	0	1	3	2	4	0	2	50
OG0000162	1	21	2	1	1	1	1	1	1	1	1	11	1	1	2	1	1	1	50
OG0000163	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OG0000164	0	49	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	50
OG0000165	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OG0000166	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OG0000167	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
OG0000168	0	10	2	4	2	6	5	0	0	0	1	0	0	5	2	1	8	4	50
OG0000169	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	50
OG0000170	2	0	3	2	3	11	6	1	1	2	2	0	3	9	0	2	0	2	49
OG0000171	4	0	3	2	1	7	3	2	1	1	0	14	1	5	1	0	3	1	49
OG0000172	3	0	4	7	5	5	2	1	1	5	2	0	1	2	8	1	0	2	49
OG0000173	2	24	2	2	1	2	0	1	1	1	0	5	2	0	3	1	1	1	49
OG0000174	1	2	5	3	2	4	4	1	1	2	3	3	2	7	2	3	2	2	49
OG0000175	1	0	5	2	1	2	2	0	3	8	1	0	9	4	1	7	0	3	49
OG0000176	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
OG0000177	0	21	0	0	0	2	2	0	0	2	0	12	1	1	3	0	4	1	49
OG0000178	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
OG0000179	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
OG0000180	6	0	2	1	2	13	8	0	0	3	0	0	0	2	4	0	7	0	48
OG0000181	1	8	2	2	3	2	4	2	2	2	2	1	3	4	3	3	2	2	48
OG0000182	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
OG0000183	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
OG0000184	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
OG0000185	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
OG0000186	0	4	5	4	5	3	2	1	1	3	1	2	7	1	3	2	1	3	48
OG0000187	2	12	2	2	2	2	3	2	2	2	2	3	2	2	1	2	2	2	47
OG0000188	2	7	4	2	2	2	4	2	2	3	2	3	2	4	1	2	1	2	47
OG0000189	2	19	1	3	3	1	2	1	1	2	1	2	1	3	1	1	0	3	47
OG0000190	5	0	3	4	3	10	10	1	1	0	2	0	0	3	1	1	0	3	47
OG0000191	1	0	2	1	2	6	6	1	1	6	1	0	0	8	3	1	7	1	47
OG0000192	1	14	2	1	1	3	3	1	1	3	2	5	1	4	2	1	1	1	47
OG0000193	4	14	2	2	2	1	1	2	2	0	1	10	0	2	1	1	0	2	47
OG0000194	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
OG0000195	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
