Orthogroup	adv	ath	aza	azd	azi
OG0010261	adv_AWL27102.1				
OG0010262	adv_AWL27103.1				
OG0010263	adv_AWL27104.1				
OG0010264	adv_AWL27105.1				
OG0010265	adv_AWL27106.1				
OG0010266	adv_AWL27107.1				
OG0010267	adv_AWL27108.1				
OG0010268	adv_AWL27110.1				
OG0010269	adv_AWL27111.1				
OG0010270	adv_AWL27112.1				
OG0010271	adv_AWL27113.1				
OG0010272	adv_AWL27114.1				
OG0010273	adv_AWL27115.1				
OG0010274	adv_AWL27116.1				
OG0010275	adv_AWL27117.1				
OG0010276	adv_AWL27118.1				
OG0010277	adv_AWL27119.1				
OG0010278	adv_AWL27120.1				
OG0010279	adv_AWL27121.1				
OG0010280	adv_AWL27122.1				
OG0010281	adv_AWL27123.1				
OG0010282	adv_AWL27124.1				
OG0010283	adv_AWL27125.1				
OG0010284	adv_AWL27126.1				
OG0010285	adv_AWL27127.1				
OG0010286	adv_AWL27128.1				
OG0010287	adv_AWL27129.1				
OG0010288	adv_AWL27130.1				
OG0010289	adv_AWL27131.1				
OG0010290	adv_AWL27132.1				
OG0010291	adv_AWL27135.1				
OG0010292	adv_AWL27136.1				
OG0010293	adv_AWL27137.1				
OG0010294	adv_AWL27138.1				
OG0010295	adv_AWL27139.1				
OG0010296	adv_AWL27140.1				
OG0010297	adv_AWL27141.1				
OG0010298	adv_AWL27142.1				
OG0010299	adv_AWL27143.1				
OG0010300	adv_AWL27144.1				
OG0010301	adv_AWL27145.1				
OG0010302	adv_AWL27146.1				
OG0010303	adv_AWL27147.1				
OG0010304	adv_AWL27148.1				
OG0010305	adv_AWL27149.1				
OG0010306	adv_AWL27150.1				
OG0010307	adv_AWL27151.1				
OG0010308	adv_AWL27152.1				
OG0010309	adv_AWL27154.1				
OG0010310	adv_AWL27155.1				
OG0010311	adv_AWL27156.1				
OG0010312	adv_AWL27157.1				
OG0010313	adv_AWL27158.1				
OG0010314	adv_AWL27159.1				
OG0010315	adv_AWL27160.1				
OG0010316	adv_AWL27161.1				
OG0010317	adv_AWL27162.1				
OG0010318	adv_AWL27163.1				
OG0010319	adv_AWL27164.1				
OG0010320	adv_AWL27166.1				
OG0010321	adv_AWL27169.1				
OG0010322	adv_AWL27170.1				
OG0010323	adv_AWL27171.1				
OG0010324	adv_AWL27172.1				
OG0010325	adv_AWL27173.1				
OG0010326	adv_AWL27174.1				
OG0010327	adv_AWL27175.1				
OG0010328	adv_AWL27176.1				
OG0010329	adv_AWL27177.1				
OG0010330	adv_AWL27178.1				
OG0010331	adv_AWL27180.1				
OG0010332	adv_AWL27181.1				
OG0010333	adv_AWL27183.1				
OG0010334	adv_AWL27184.1				
OG0010335	adv_AWL27185.1				
OG0010336	adv_AWL27186.1				
OG0010337	adv_AWL27187.1				
OG0010338	adv_AWL27188.1				
OG0010339	adv_AWL27189.1				
