OG0002396	K00446
OG0013439	K01615
OG0005446	K01692
OG0012646	K01692
OG0012647	K01692
OG0006470	K00626
OG0001725	K07516
OG0003754	K05783
OG0017080	K02554
OG0018120	K02554
OG0019925	K02554
OG0016764	K01715
OG0006609	K20509
OG0017024	K15016
OG0024789	K01782
OG0025149	K01692
OG0026303	K01692
OG0027715	K00626
OG0028171	K01666
OG0034883	K00626
OG0035065	K01715
OG0035144	K01692
