adv_AWL29021.1	K05549
adv_AWL30136.1	K18365
azd_AYH43707.1	K18365
azd_AYH43780.1	K18365
azd_AYH43806.1	K18365
azd_AYH45913.1	K18365
azi_AKU11410.1	K18365
azi_AKU14302.1	K18365
adv_AWL27418.1	K01666
adv_AWL27420.1	K02554
adv_AWL30138.1	K02554
azd_AYH43705.1	K18364
azd_AYH43778.1	K18364
azd_AYH43802.1	K18364
azd_AYH45915.1	K18364
azi_AKU11408.1	K18364
azi_AKU14304.1	K18364
adv_AWL27423.1	K00446
azd_AYH43769.1	K00446
azd_AYH43794.1	K00446
adv_AWL27419.1	K04073
adv_AWL30137.1	K18366
azd_AYH43706.1	K18366
azd_AYH43779.1	K18366
azd_AYH43805.1	K18366
azd_AYH45914.1	K18366
azi_AKU11409.1	K18366
azi_AKU14303.1	K18366
adv_AWL27422.1	K10216
adv_AWL30134.1	K10216
azd_AYH43777.1	K10216
azd_AYH45911.1	K10216
adv_AWL29023.1	K05784
