Orthogroup	adv	ath	aza	azd	azi	bced	bvi	cyq	cza	dor	eba	lcm	magx	parb	rrz	shd	sscu	tmz
OG0020180	adv_AWL27102.1																	
OG0020181	adv_AWL27103.1																	
OG0020182	adv_AWL27104.1																	
OG0020183	adv_AWL27105.1																	
OG0020184	adv_AWL27106.1																	
OG0020185	adv_AWL27107.1																	
OG0020186	adv_AWL27108.1																	
OG0020187	adv_AWL27110.1																	
OG0020188	adv_AWL27111.1																	
OG0020189	adv_AWL27112.1																	
OG0020190	adv_AWL27114.1																	
OG0020191	adv_AWL27115.1																	
OG0020192	adv_AWL27116.1																	
OG0020193	adv_AWL27117.1																	
OG0020194	adv_AWL27118.1																	
OG0020195	adv_AWL27119.1																	
OG0020196	adv_AWL27120.1																	
OG0020197	adv_AWL27121.1																	
OG0020198	adv_AWL27122.1																	
OG0020199	adv_AWL27123.1																	
OG0020200	adv_AWL27124.1																	
OG0020201	adv_AWL27125.1																	
OG0020202	adv_AWL27126.1																	
OG0020203	adv_AWL27127.1																	
OG0020204	adv_AWL27128.1																	
OG0020205	adv_AWL27129.1																	
OG0020206	adv_AWL27132.1																	
OG0020207	adv_AWL27135.1																	
OG0020208	adv_AWL27138.1																	
OG0020209	adv_AWL27139.1																	
OG0020210	adv_AWL27140.1																	
OG0020211	adv_AWL27141.1																	
OG0020212	adv_AWL27144.1																	
OG0020213	adv_AWL27145.1																	
OG0020214	adv_AWL27150.1																	
OG0020215	adv_AWL27155.1																	
OG0020216	adv_AWL27158.1																	
OG0020217	adv_AWL27159.1																	
OG0020218	adv_AWL27160.1																	
OG0020219	adv_AWL27162.1																	
OG0020220	adv_AWL27163.1																	
OG0020221	adv_AWL27164.1																	
OG0020222	adv_AWL27166.1																	
OG0020223	adv_AWL27170.1																	
OG0020224	adv_AWL27172.1																	
OG0020225	adv_AWL27173.1																	
OG0020226	adv_AWL27174.1																	
OG0020227	adv_AWL27175.1																	
OG0020228	adv_AWL27178.1																	
OG0020229	adv_AWL27181.1																	
OG0020230	adv_AWL27183.1																	
OG0020231	adv_AWL27184.1																	
OG0020232	adv_AWL27185.1																	
OG0020233	adv_AWL27186.1																	
OG0020234	adv_AWL27187.1																	
OG0020235	adv_AWL27188.1																	
OG0020236	adv_AWL27189.1																	
OG0020237	adv_AWL27196.1																	
OG0020238	adv_AWL27197.1																	
OG0020239	adv_AWL27198.1																	
OG0020240	adv_AWL27199.1																	
OG0020241	adv_AWL27200.1																	
OG0020242	adv_AWL27214.1																	
OG0020243	adv_AWL27216.1																	
OG0020244	adv_AWL27218.1																	
OG0020245	adv_AWL27220.1																	
OG0020246	adv_AWL27222.1																	
OG0020247	adv_AWL27223.1																	
OG0020248	adv_AWL27224.1																	
OG0020249	adv_AWL27225.1																	
OG0020250	adv_AWL27226.1																	
OG0020251	adv_AWL27227.1																	
OG0020252	adv_AWL27228.1																	
OG0020253	adv_AWL27229.1																	
OG0020254	adv_AWL27230.1																	
OG0020255	adv_AWL27232.1																	
OG0020256	adv_AWL27233.1																	
OG0020257	adv_AWL27235.1																	
OG0020258	adv_AWL27236.1																	
OG0020259	adv_AWL27237.1																	
OG0020260	adv_AWL27238.1																	
OG0020261	adv_AWL27239.1																	
OG0020262	adv_AWL27241.1																	
OG0020263	adv_AWL27242.1																	
OG0020264	adv_AWL27243.1																	
OG0020265	adv_AWL27246.1																	
OG0020266	adv_AWL27247.1																	
OG0020267	adv_AWL27249.1																	
OG0020268	adv_AWL27252.1																	
OG0020269	adv_AWL27253.1																	
OG0020270	adv_AWL27256.1																	
OG0020271	adv_AWL27257.1																	
OG0020272	adv_AWL27258.1																	
OG0020273	adv_AWL27259.1																	
OG0020274	adv_AWL27261.1																	
OG0020275	adv_AWL27264.1																	
OG0020276	adv_AWL27265.1																	
OG0020277	adv_AWL27266.1																	
OG0020278	adv_AWL27267.1																	
OG0020279	adv_AWL27268.1																	
OG0020280	adv_AWL27269.1																	
OG0020281	adv_AWL27270.1																	
OG0020282	adv_AWL27271.1																	
OG0020283	adv_AWL27272.1																	
OG0020284	adv_AWL27274.1																	
OG0020285	adv_AWL27277.1																	
OG0020286	adv_AWL27278.1																	
OG0020287	adv_AWL27279.1																	
OG0020288	adv_AWL27280.1																	
OG0020289	adv_AWL27282.1																	
OG0020290	adv_AWL27283.1																	
OG0020291	adv_AWL27288.1																	
OG0020292	adv_AWL27289.1																	
OG0020293	adv_AWL27293.1																	
OG0020294	adv_AWL27300.1																	
OG0020295	adv_AWL27305.1																	
OG0020296	adv_AWL27306.1																	
OG0020297	adv_AWL27315.1																	
OG0020298	adv_AWL27319.1																	
OG0020299	adv_AWL27320.1																	
OG0020300	adv_AWL27321.1																	
OG0020301	adv_AWL27325.1																	
OG0020302	adv_AWL27327.1																	
OG0020303	adv_AWL27328.1																	
OG0020304	adv_AWL27329.1																	
OG0020305	adv_AWL27330.1																	
OG0020306	adv_AWL27332.1																	
OG0020307	adv_AWL27335.1																	
OG0020308	adv_AWL27337.1																	
OG0020309	adv_AWL27338.1																	
OG0020310	adv_AWL27340.1																	
OG0020311	adv_AWL27341.1																	
OG0020312	adv_AWL27343.1																	
OG0020313	adv_AWL27344.1																	
OG0020314	adv_AWL27345.1																	
OG0020315	adv_AWL27346.1																	
OG0020316	adv_AWL27347.1																	
OG0020317	adv_AWL27348.1																	
OG0020318	adv_AWL27350.1																	
OG0020319	adv_AWL27351.1																	
OG0020320	adv_AWL27352.1																	
OG0020321	adv_AWL27353.1																	
OG0020322	adv_AWL27354.1																	
OG0020323	adv_AWL27358.1																	
OG0020324	adv_AWL27359.1																	
OG0020325	adv_AWL27360.1																	
OG0020326	adv_AWL27364.1																	
OG0020327	adv_AWL27365.1																	
OG0020328	adv_AWL27368.1																	
OG0020329	adv_AWL27369.1																	
OG0020330	adv_AWL27370.1																	
OG0020331	adv_AWL27371.1																	
OG0020332	adv_AWL27372.1																	
OG0020333	adv_AWL27375.1																	
OG0020334	adv_AWL27378.1																	
OG0020335	adv_AWL27379.1																	
OG0020336	adv_AWL27381.1																	
OG0020337	adv_AWL27382.1																	
OG0020338	adv_AWL27383.1																	
OG0020339	adv_AWL27385.1																	
OG0020340	adv_AWL27386.1																	
OG0020341	adv_AWL27387.1																	
OG0020342	adv_AWL27388.1																	
OG0020343	adv_AWL27389.1																	
OG0020344	adv_AWL27391.1																	
OG0020345	adv_AWL27392.1																	
OG0020346	adv_AWL27394.1																	
OG0020347	adv_AWL27400.1																	
OG0020348	adv_AWL27401.1																	
OG0020349	adv_AWL27402.1																	
OG0020350	adv_AWL27410.1																	
OG0020351	adv_AWL27411.1																	
OG0020352	adv_AWL27413.1																	
OG0020353	adv_AWL27414.1																	
OG0020354	adv_AWL27451.1																	
OG0020355	adv_AWL27458.1																	
OG0020356	adv_AWL27481.1																	
OG0020357	adv_AWL27486.1																	
OG0020358	adv_AWL27497.1																	
OG0020359	adv_AWL27501.1																	
OG0020360	adv_AWL27502.1																	
OG0020361	adv_AWL27505.1																	
OG0020362	adv_AWL27506.1																	
OG0020363	adv_AWL27507.1																	
OG0020364	adv_AWL27508.1																	
OG0020365	adv_AWL27509.1																	
OG0020366	adv_AWL27510.1																	
OG0020367	adv_AWL27511.1																	
OG0020368	adv_AWL27513.1																	
OG0020369	adv_AWL27515.1																	
OG0020370	adv_AWL27516.1																	
OG0020371	adv_AWL27517.1																	
OG0020372	adv_AWL27518.1																	
OG0020373	adv_AWL27519.1																	
OG0020374	adv_AWL27520.1																	
OG0020375	adv_AWL27521.1																	
OG0020376	adv_AWL27522.1																	
OG0020377	adv_AWL27523.1																	
OG0020378	adv_AWL27524.1																	
OG0020379	adv_AWL27525.1																	
OG0020380	adv_AWL27527.1																	
OG0020381	adv_AWL27528.1																	
OG0020382	adv_AWL27529.1																	
OG0020383	adv_AWL27530.1																	
OG0020384	adv_AWL27531.1																	
OG0020385	adv_AWL27537.1																	
